danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.919,0.587,4,-5.606,1,0.146,0.149,1.13e-06,0.34,0.898,141.947,1uiX0bdc2sPHcL1k02bC2G,206944,4
0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,5iwz1NiezX7WWjnCgY5TH4,238200,4
0.474,0.489,6,-7.625,0,0.0342,0.467,0.0,0.119,0.23,124.844,3BBahK6YhmPosOymF45cMu,208801,4
0.81,0.603,4,-7.835,0,0.162,0.0411,0.0,0.0838,0.663,116.028,5SmpCD8NJSFnJa6NeAl88J,241259,4
0.568,0.455,3,-7.611,0,0.0308,0.626,0.0,0.129,0.641,68.464,6AuhyP1rKXVGvvrqr5UNaK,223453,3
0.441,0.619,4,-6.609,1,0.0293,0.19,0.0,0.118,0.187,75.027,7LyCtbxher5m97MImn5M3l,290133,4
0.911,0.599,11,-6.97,1,0.252,0.344,8.04e-05,0.109,0.597,99.978,17L2sYqS71YBsocuCT5Bem,167993,4
0.435,0.745,0,-4.613,1,0.0431,0.492,0.0,0.08,0.552,179.988,619zlIsV7csW2h2narAoPC,275027,3
0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152,0kN8xEmgMW9mh7UmDYHlJP,261240,4
0.533,0.298,9,-11.069,1,0.0315,0.741,4.82e-05,0.134,0.112,129.676,3RDNWxiX2qTMDLwOHYWPN2,271200,4
0.774,0.473,1,-5.122,0,0.0569,0.221,0.0,0.222,0.416,97.953,4cEONREpY8NQJMuGQP95Kl,177253,4
0.88,0.712,1,-6.168,1,0.161,0.0732,0.000184,0.0881,0.741,130.075,2S4exmZO3aVEcoxLdKhC47,138886,4
0.544,0.593,9,-8.937,0,0.0249,0.0163,4.83e-05,0.266,0.271,91.802,09yDsl7d8xXZPntarkiVes,270520,4
0.738,0.801,1,-5.281,0,0.222,0.679,0.0,0.091,0.351,104.934,21EqFEy8L8Db6aaPmIQd9E,189714,4
0.656,0.401,9,-6.444,0,0.0263,0.581,0.0,0.135,0.343,94.998,3TuWleBiR3aQaiwFZg9gg9,265541,4
0.653,0.716,0,-4.95,1,0.173,0.0445,0.0,0.0387,0.415,104.793,18jSRr1ZwC6tcF7Td08hYM,237720,4
0.406,0.311,9,-11.635,1,0.0447,0.481,0.00705,0.111,0.139,148.047,3o6yMHrSRj2ri4NqQYqTHq,263872,4
0.685,0.676,7,-8.536,0,0.0839,0.222,0.0,0.178,0.663,95.016,313um2ec9yhzhRLf0SNqPv,192139,4
0.781,0.486,9,-8.509,1,0.0665,0.188,0.000319,0.119,0.193,123.009,26GnxoD96MovRqYDa0fqUr,177369,4
